src,dst
1397,13144
1613,3871
7658,1818
11073,5646
6403,9147
2790,11713
44,6339
11194,5845
736,6166
1332,10169
2045,11142
2885,6862
10803,13177
2485,1496
6505,13802
6391,2534
2799,8099
2857,7728
3451,2024
745,13608
5607,771
502,3148
5858,3468
11087,8306
11982,7296
5996,277
3734,500
4075,7053
6276,657
10161,13430
1400,5596
11911,3728
11934,884
3300,403
7399,9126
3650,3541
7662,13757
11198,1843
2690,6075
3049,3213
6048,488
6792,2600
7081,4287
4247,1378
1302,6204
6362,7026
3449,1530
5864,1263
3620,3750
10164,173
3886,3381
17,5831
470,9866
3773,12931
6955,2285
13545,7622
1639,6192
1770,5689
6845,1247
7161,13477
7068,112
8181,617
8604,3470
1926,2486
3297,3345
1680,1414
13754,4184
8965,2981
6909,39
295,3731
9832,6386
3632,978
6824,367
7035,7855
574,571
8103,3267
2814,1401
3861,3103
3540,4088
1454,5940
143,2054
3520,3586
7412,1100
11914,12046
218,2221
11200,7453
2995,707
7317,3677
1138,7253
2353,3557
14101,7906
55,13072
11452,3115
11913,9904
5848,5717
6312,4299
5753,11076
2685,4041
2013,1143
8550,3706
11868,6833
11815,1322
2134,1498
5718,4153
2228,3298
1671,2556
795,7870
5434,3214
552,5831
3997,1161
2000,13404
3387,2051
1308,3987
11583,3213
6158,8351
8221,3790
9239,2545
7599,810
267,13368
5909,1536
6752,2484
8669,7355
625,5589
8519,8284
5415,10107
7579,1912
4108,60
3097,6949
3621,696
3228,12957
1096,3668
869,4335
12042,11970
8835,13311
1315,6400
7325,265
2845,7126
5942,6862
740,349
281,8130
3394,8115
9138,4271
6213,1
853,10116
3386,2148
2860,6434
9795,3550
1895,1806
1112,4319
11911,90
6464,7336
1518,3928
3540,1518
5862,12946
2762,844
2863,2737
6089,1541
911,3941
7185,11986
1189,7161
6292,4280
2711,3640
973,2589
9093,175
1015,11178
3519,594
1794,94
1080,8223
4064,3757
6478,9794
13626,4206
1622,3042
2692,3929
11545,331
7564,7475
14109,11912
11258,5943
2961,11928
3374,2850
602,7809
3323,11765
514,3698
8274,1642
12392,458
6724,6262
5624,7406
5482,1438
6766,6194
11985,13723
3281,4360
8267,1948
3553,7381
596,7898
3237,57
9103,6391
919,2871
1507,6208
1395,8244
3776,282
897,6190
1033,8255
5845,7206
13356,4179
1291,2893
1780,6185
6224,2347
8612,6379
2663,4132
1098,1413
1949,362
8742,1137
2499,7514
1231,405
7730,839
6899,615
7135,1524
3029,3581
9901,3119
4229,6003
13269,3901
7556,11095
2388,121
1202,5750
2722,5762
724,2442
3592,3629
4131,6144
6931,3818
1432,5468
1813,1367
3904,2993
7361,14097
3284,559
5704,9411
957,13032
896,1478
5943,242
1487,11832
3172,6305
1546,5430
463,1479
8808,213
5468,1388
2829,2512
8975,6464
2513,3145
3289,989
8253,2889
3125,3496
